Šifra artikla,Jedinica mjere ,Naziv artikla,Stanje zaliha,Knjigovodstveno stanje
1,kom,ADING ROLNA 57 MM  1+0 (PAK 10/1),"1,000","1,000"
107,kom,BLANKO 240X12 1+1,"0,000","0,000"
116,kom,BLANKO 240X12 1+0,"1,000","1,000"
117,kom,BLOK 5,"154,000","154,000"
119,kom,BLOK 4,"65,000","65,000"
125,kom,"BATERIJA 1.5V LR6 AA,AAA 1/4 (MAXELL) LR6","21,000","21,000"
1103,kom,KOVERTA 1000 AD ŽUTA,"5,000","5,000"
1203,kom,"LEPAK ""OHO"" 20 GR.","47,000","47,000"
1417,kom,MUNICIJA ZA HEFT.1000/1 1,"0,000","0,000"
2001,kom,SVESKA A5 TP LATAJN 2-25,"85,000","85,000"
2003,kom,SPAJALICE,"48,000","48,000"
2105,kom,WIN-TEHNIČKA OLOVKA 0.5,"59,000","59,000"
2409,kom,FAX ROLNA 210X20,"27,000","27,000"
2413,kom,FASCIKLA KARTONSKA-BELA,"44,000","-6,000"
2505,kom,HAMER B1,"157,000","157,000"
2952,kom,ZDRAVSTVENA KNJIŽICA SL210031-29/601,"270,000","270,000"
3186,kom,FASCIKLA SA GUMOM  PLASTIFICIRANA ORANŽ,"24,000","24,000"
3312,kom,REČNIK  2 KOLONE,"3,000","3,000"
3315,kom,BLOK 3,"162,000","162,000"
3316,kom,BLOK 2,"42,000","42,000"
3328,kom,"LEPAK ""OHO"" 40 GR.","187,000","187,000"
3440,kom,RADNA SVESKA IZ VJERONAUKE III,"6,000","6,000"
3441,kom,RADNA SVESKA IZ VJERONAUKE IV,"3,000","3,000"
3552,kom,JEMSTVENIK 100 M,"3,000","3,000"
3903,kom,PAR-ROLER VECTOR BELI 4468220742100,"0,000","0,000"
4136,kom,FASCIKLA KEPER,"0,000","0,000"
4219,kom,FAX ROLNA 210X30,"0,000","0,000"
4245,kom,PAR-ULOŽAK ZA ROLER PLAVI F 4667925032400,"1,000","1,000"
4371,kom,INDEX SVESKA A4 100 LISTA,"2,000","2,000"
4696,kom,KALKULATOR CASIO FX-82MS (FX-82-MS-WA-GH),"0,000","0,000"
4929,kom,HEMIJSKA OL. 1522,"6,000","6,000"
4941,kom,UPALJAČ PVC ELEKTRONSKI PLAVI (SONIC) 20.032.82,"8,000","8,000"
5263,kom,SVESKA A5 MP DIKTO,"22,000","22,000"
5265,kom,BLOK ZA BELEŠKE A5 DIKTO,"0,000","0,000"
5851,kom,PAR-TEH.OL.VECTOR BELA 4468240732100,"11,000","11,000"
6158,kom,TURBINSKA MERILA ZAP.TEČ.,"1,000","1,000"
6385,kom,KRAVATE TALIJANSKE,"4,000","4,000"
6405,kom,PAR-ROLER VECTOR S.STEEL 4465129942100,"6,000","6,000"
6554,kom,ŠT-GRAFITNA OL. TRADICION,"216,000","216,000"
6814,kom,PAR-NALIV PERO VECTOR S.STEEL 2025443,"3,000","3,000"
6934,kom,ULOŽAK METALNI CRNI,"120,000","120,000"
7541,kom,ŠT-ZAREZAČ 511 006 511 006,"1,000","1,000"
7729,kom,ŠT-DRVENE BOJE 144 NC 12 10730,"73,000","73,000"
7737,kom,ŠT-GRAF.OL.NORIS 122 SA GUMICO 122-HB,"1,000","1,000"
8155,kom,MARAMA SVILENA,"5,000","5,000"
8326,kom,PAR-TEH.OL.JOTTER S.STEEL 4485149932101,"2,000","2,000"
8516,kom,BATERIJA 9V ALKALNA 6LF22 6LF22,"8,000","8,000"
8904,kom,PAR-ULOŽAK ZA HO PLAVI F 1950368,"7,000","7,000"
9166,kom,KNJIGA ŠANKA A3 USKA,"10,000","10,000"
9249,kom,CROSS 8101 UL.ZA BP-CRN F 8101,"4,000","4,000"
9250,kom,CROSS 8523 UL.ZA RB CRNI,"1,000","1,000"
9254,kom,CROSS 792 BP,"0,000","0,000"
9327,kom,ŠT-GUMICA U OLOVCI 526 61 526 61,"26,000","26,000"
9351,kom,CROSS 8521 UL.ZA RB PLAVI,"15,000","15,000"
9416,kom,CROSS 175-5 RB,"1,000","1,000"
9478,kom,PAR-TEH.OL.JOTTER BELA 4487140732101,"36,000","36,000"
9865,kom,SH-1003 RB.TARGA,"1,000","1,000"
9870,kom,SH-1002 RB.TARGA,"2,000","2,000"
9943,kom,SH-598 RB.CREST OP.RED,"1,000","1,000"
9954,kom,SH-581 RB.CREST.NOVA-RED,"1,000","1,000"
15133,kom,IS-KRAVATA 354 354,"1,000","1,000"
15318,kom,CROSS 652 BP,"1,000","1,000"
15454,kom,CROSS 302-2 VICTOR.HEM.OL,"1,000","1,000"
16101,kom,KALENDAR ZIDNI TRADICIJA,"0,000","0,000"
16425,kom,SPIRALA- 22 MM HE NA V,"0,000","0,000"
16716,kom,ROT.TUŠ ZA RAPID.PATRONA CR R590 517,"19,000","19,000"
16739,kom,ROT.RAPIDOG.VARIANT 0.4 R112 040,"2,000","2,000"
16741,kom,ROT.RAPIDOG.VARIANT 0.6 R112 060,"7,000","7,000"
16742,kom,ROT.RAPIDOG.VARIANT 0.8 R112 080,"2,000","2,000"
16748,kom,ROT.IZOGRAF 0.1 R151 010,"0,000","0,000"
16749,kom,ROT.IZOGRAF 0.2 R151 020,"0,000","0,000"
16761,kom,ROT.IZM.PERO VARIANT 0.8 R712 080,"3,000","3,000"
16762,kom,ROT.POSTOLJE ZA RAPIDOGRAF R516 351,"5,000","5,000"
16763,kom,ROT.IZOGRAF 0.25 R151 025,"3,000","3,000"
16765,kom,ROT.IZOGRAF 0.5 R151 050,"7,000","7,000"
16766,kom,ROT.IZOGRAF 0.7 R151 070,"3,000","3,000"
16771,kom,ROT.IZM.PERO 0.5 IZOGRAF R751 050,"4,000","4,000"
16778,kom,ROT.TUŠ ZA RAPID.23ML CRVENI R591 003,"7,000","7,000"
16779,kom,ROT.TUŠ ZA RAPID.23ML PLAVI R591 009,"9,000","9,000"
16780,kom,ROT.TUŠ ZA RAPID.23ML CRNI S0194660,"20,000","20,000"
16785,kom,ROT.TABLA CRT.A3 U KUTIJI R523 403,"0,000","0,000"
16787,kom,"ROT.GLAVA ZA CRT,PROFES.522346 R522 346","1,000","1,000"
16792,kom,ROT.ŠESTAR ŠKOLSKI CONV 530109 R530 1090,"6,000","6,000"
16793,kom,ROT.ŠEST.SA OSOVIN.CENT.530115 R530 115,"17,000","17,000"
16794,kom,ROT.ŠEST.SA OS/PROD.CENT530116 R530 116,"4,000","4,000"
16798,kom,ROT.UNIVER.DRŽAČ.ZA RAPID R533 360,"4,000","4,000"
16806,kom,ROT.GRAF.MINE 2MM HB R505 208,"27,000","27,000"
16808,kom,ROT.TUŠ ZA RAPID.23ML BELI R591 018,"31,000","31,000"
16813,kom,ROT.GRAF.MI.HY POLY 0.5 B S0312640,"70,000","70,000"
16821,kom,ROT.GRAF.MI.HY POLY 0.35 B R505 307,"34,000","34,000"
16822,kom,ROT.GRAF.MI.HY POLY 0.35 HB R505 308,"120,000","120,000"
16825,kom,ROT.GRAF.MI.HY POLY 0.5 HB S0312650,"137,000","137,000"
16826,kom,ROT.GRAF.MI.HY POLY 0.5 2H S0312670,"46,000","46,000"
16828,kom,ROT.GRAF.MI.HY POLY 0.7 HB S0312690,"84,000","84,000"
16834,kom,ROT.GUMICA TIKKY 20 R551 420A,"301,000","301,000"
16835,kom,ROT.GUMICA TIKKY 30 R551 430A,"98,000","98,000"
16836,kom,ROT.GUMICA TIKKY 40 R551 440A,"93,000","93,000"
17240,kom,SH-347 RB.MATTE BLUE,"1,000","1,000"
30671,kom,SH-134 AWARD RB.CHR,"1,000","1,000"
30672,kom,SH-133 AWARD RB.MAT,"1,000","1,000"
30715,kom,ŠT-ZAREZAČ 512 006 512 006,"0,000","0,000"
30981,kom,PODLOGA ZA MIŠA,"3,000","3,000"
30996,kom,KOVERTA SAMOLEPLJIVA 17.6X25  B5,"165,000","165,000"
30997,kom,KOVERTA SAMOLEPLJIVA 22.9X32.4 TC4,"131,000","131,000"
31240,kom,SH-356 RB.BLUE LACQUER,"1,000","1,000"
31320,kom,E-FOLIJA L/PLAVA    54835 54835P,"0,000","0,000"
31380,kom,E-SAM.POR.75*125/LJ 83026 83026,"31,000","31,000"
31401,kom,E-STONI SET-BORDO   50551 (ne proizvodi se više!!!) 50551,"2,000","2,000"
31409,kom,E-KOR.ZA TERMO KOR.9MM   39314 39314,"4,000","4,000"
31465,kom,E-HEFTALICA 191    019124 19124,"1,000","1,000"
31466,kom,E-FASC.PENDAFLEX    93042 93042,"1,000","1,000"
31468,kom,E-TR.6X7 BELO/CRNA  43613 D1 (ne proizvodi se više!!!) 43613,"5,000","5,000"
31589,kom,ROT.TUŠ ZA PLOTER R592 317,"6,000","6,000"
31593,kom,ROT.PLOTER 0.7 CRNI R740 721,"18,000","18,000"
31598,kom,JEMSTVENIK 25 M,"2,000","2,000"
31599,kom,JEMSTVENIK 50 M,"19,000","19,000"
31793,kom,BUŠAČ AKATA SAX 588 VELIKI DUP 7539,"1,000","1,000"
31911,kom,IGRAČKA 867,"3,000","3,000"
32017,kom,PZM-ROKOVNIK A-4 3001,"1,000","1,000"
32260,kom,ROT.IZOGRAF 0.6 R151 060,"23,000","23,000"
32302,kom,MEHANIZMI ZA FASCIKLE,"571,000","571,000"
32484,kom,ICO ROLLER 0.5 GREEN 9085,"8,000","8,000"
32510,kom,SIGNIR VIDEOTIP ORANGE 9106,"2,000","2,000"
32511,kom,SIGNIR VIDEOTIP GREEN 9106,"23,000","23,000"
32512,kom,SIGNIR VIDEOTIP PINK,"17,000","17,000"
32583,kom,E-ČAŠA ZA OLOV.PLAV 50572 50572000,"4,000","4,000"
32584,kom,E-KANC.SET PLAVI    50562 50562000,"2,000","2,000"
32587,kom,E-MAPA ZA STO PLAVA 50282 50282000,"0,000","0,000"
34011,kom,KANAP TANJI 100 GR 2.5/2,"0,000","0,000"
34120,kom,BATERIJA R 14 R14,"12,000","12,000"
34986,kom,ROT.IZOGRAF 0.4 R151 040,"2,000","2,000"
35367,kom,ROT.GRAF.MI.HY POLY 0.9 HB S0312700,"95,000","95,000"
35450,kom,ŠAL MUŠKI-KAŠMIR,"10,000","10,000"
35466,kom,KOŽA-ETUI ZA ČEK.KNJIŽ.BRAON 58.559,"1,000","1,000"
35534,kom,BLOK ZA BELEŠKE A4 ČIST,"13,000","13,000"
35600,kom,U-DRV.BOJ.CARIOCA 1/6    41256 (KARTON) 41256,"52,000","52,000"
35601,kom,U-DRV.BOJ.CARIOCA 1/12   40380 (KARTON) 40380,"41,000","41,000"
35634,kom,U-MARKER UNIX 1/4 perm.  41279 (obli vrh) 41279.,"0,000","0,000"
35726,kom,E-TR.12X7 CRV/ČIS        45012 (ne proizvodi se više!!!) 45012,"22,000","22,000"
35785,kom,SPP 20 ČEKOVNA KNJIŽICA,"116,000","116,000"
36108,kom,U-DRV.BOJ.CARIOCA 1/24   40381 (KARTON) 40381,"19,000","19,000"
36109,kom,U-FLOM.CARIOCA JOY 1/12  40531 (PVC) 40531,"0,000","0,000"
36431,kom,ROT.RAZMERNIK T6 R802 023,"2,000","2,000"
36436,kom,"ROT.XONOX GRAPH.0,4 CRNI R020 504","42,000","42,000"
36450,kom,ROT.RAPIDOG.VARIANT II 02 R112 020A,"0,000","0,000"
36452,kom,ROT.RAPIDOG.VARIANT II 04 R112 040A,"8,000","8,000"
36454,kom,ROT.RAPIDOG.VARIANT II 06 R112 060A,"8,000","8,000"
36455,kom,ROT.RAPIDOG.VARIANT II 08 R112 080A,"16,000","16,000"
36458,kom,ROT.IZM.PERO VARIAN.II 08 R713 080,"16,000","16,000"
36474,kom,E-STAL.ZA SEL.VEĆ.BE.2531 25310,"3,000","3,000"
36479,kom,E-TR.6X7 CRNO/PROV. 43610 D1 (ne proizvodi se više!!!) 43610,"5,000","5,000"
36529,kom,E-TR.12X3 CRNA     014509 14509,"19,000","19,000"
37202,kom,SELOTEJP 48X60 PROVIDNI,"12,000","12,000"
37298,kom,BBS-SVEĆICA *0* BARBIE 008510,"5,000","5,000"
37313,kom,BBS-SVEĆICA MUZIČKA ROZA 024180,"1,000","1,000"
37377,kom,OMOTAČI ZA BUKVAR,"31,000","31,000"
37381,kom,TUŠ ĐAČKI,"36,000","36,000"
37496,kom,ROT.RAZMERNIK DIN R802 019,"1,000","1,000"
37498,kom,ROT.RAZMERNIK T2 R802 021,"0,000","0,000"
37500,kom,ROT.RAZMERNIK T9 R802 024,"0,000","0,000"
37503,kom,ROT.ŠABLON-KVAD. R839 680 R839 680,"11,000","11,000"
37508,kom,ROT.ŠABLON-ŠEST. R842 685 R842 685,"6,000","6,000"
37511,kom,ROT.ŠABLON-KUPAT. R853 798 (ne proizvodi se više!) R853 798,"9,000","9,000"
37568,kom,BLOK LIPA,"0,000","0,000"
37707,kom,E-FOL.ZA INK JET/25      57160 57160,"1,000","1,000"
37748,kom,SANITARNA KNJIŽICA SL210691-04/405,"86,000","86,000"
37749,kom,E-TR.12X3 PLAVA    014506 14506,"20,000","20,000"
37750,kom,E-TR.12X3 CRVENA   014502 14502,"18,000","18,000"
37855,kom,MILIMETARSKI BLOK A4 25L,"8,000","8,000"
37870,kom,ADING ROLNA 57x30m,"0,000","0,000"
37872,kom,ADING ROLNA 58X35 m,"0,000","0,000"
38556,kom,BATERIJA CR 2032 CR2032,"13,000","13,000"
38666,kom,ROT.IZM.PERO VARIAN.II 04 R713 040,"7,000","7,000"
38681,kom,ROT.IZM.PERO VARIAN.II 05 R713 050,"24,000","24,000"
38682,kom,ROT.IZM.PERO VARIAN.II 06 R713 060,"17,000","17,000"
38683,kom,ROT.IZM.PERO VARIAN.II 10 R713 100,"0,000","0,000"
38684,kom,ROT.GEOM.SET CENTRO 4 S0221370,"26,000","26,000"
39254,kom,ŠT-TROUGAO 567 21 45 ŠTEDLE 567 21 45,"0,000","0,000"
39256,kom,ŠT-TROUGAO 567 21 60 ŠTEDLE 567 21 60,"7,000","7,000"
39257,kom,ŠT-TROUGAO 567 26 45 ŠTEDLE 567 26 45,"15,000","15,000"
39259,kom,ŠT-TROUGAO 567 26 60 ŠTEDLE 567 26 60,"18,000","18,000"
40145,kom,E-TR.6X7 CRNO/ŽUTA  43618 D1 (ne proizvodi se više!!!) 43618,"1,000","1,000"
40495,kom,SC-1941 SLONIC,"0,000","0,000"
40547,kom,SE-ŽENSKI SWP 008P-5 KIN SWP 008P-5,"1,000","1,000"
41571,kom,ROT.ŠABLON-KUPAT. R853 796 (ne proizvodi se više!) R853 796,"22,000","22,000"
42007,kom,ROKOVNIK B5 VENTURA MINT ZEL 60.901.58,"0,000","0,000"
42008,kom,PLANER POSLOVNI PLAVI (2015) AL0A6,"10,000","10,000"
42021,kom,BLOK 4 FABRIANO/110GR AKVAREL,"48,000","48,000"
42505,kom,E-SPIR.25MM CRV.    35066 ((pak 50 kom)) 35066,"0,000","0,000"
42586,kom,TORBICA ZA PLAŽU 09125-8132,"0,000","0,000"
42623,kom,REKLAMNI BLOK A4,"4,000","4,000"
42756,kom,PAR-PATRONA MASTILA PLAVO S0116240,"20,000","20,000"
43153,kom,"PLANER LISABON CRVENI 29,5X15 64.004.30/2017","7,000","7,000"
43321,kom,BATERIJA ČETVRTASTA 9 V 6F22,"10,000","10,000"
43371,kom,VOŠTANE BOJE 1/12 CONTE CONTE 5432,"29,000","29,000"
43467,kom,START ALAT II PULSE,"5,000","5,000"
44116,kom,BLOK A6,"1,000","1,000"
44147,kom,KOLAŽ PAPIR B5 SAMOLEPLJIVI,"179,000","179,000"
44958,kom,ĐAČKA KNJIŽICA ZA OSNOVNU S.,"14,000","14,000"
45124,kom,PAR-HEM.OL.JOTTER CRNA 4487132132100,"0,000","0,000"
45125,kom,PAR-TEH.OL.JOTTER PLAVA 4487144032101,"0,000","0,000"
45126,kom,PAR-TEH.OL.JOTTER CRVENA 4487147032101,"0,000","0,000"
45127,kom,PAR-TEH.OL.JOTTER CRNA 4487142132101,"17,000","17,000"
45130,kom,PAR-HEM.OL.VECTOR CRNA,"0,000","0,000"
45133,kom,PAR-TEH.OL.VECTOR CRNA 4468242132100,"20,000","20,000"
45136,kom,PAR-NALIV PERO VECTOR CRNO 2025379,"4,000","4,000"
45802,kom,PAR-ULOŽAK ZA HO CRNI F 4667932133541,"15,000","15,000"
48071,kom,KAIŠ BELT 12-319,"0,000","0,000"
48519,kom,ROT.ŠABLON 853 907 R853 907,"13,000","13,000"
48521,kom,ROT.ŠABLON 853 901 (ne proizvodi se više!) R853 901,"0,000","0,000"
48730,kom,ROT.IZOGRAF 0.3 R151 030,"6,000","6,000"
48731,kom,ROT.IZOGRAF 1.4 R151 140,"22,000","22,000"
48732,kom,ROT.IZOGRAF 2.0 R151 200,"7,000","7,000"
48733,kom,ROT.RAPIDOGRAF 0.7MM R155 070,"7,000","7,000"
48735,kom,ROT.RAPIDOGRAF 2.0MM R155 200,"11,000","11,000"
48741,kom,ROT.GRAF.MINE 2MM 2H R505 211N,"27,000","27,000"
48744,kom,ROT.TABLA CRT.A4 U KUT. R523 404,"1,000","1,000"
48749,kom,ROT.ŠESTAR NULTAŠ R532106 R532 106,"4,000","4,000"
48752,kom,ROT.ŠABLON SIMBOLI R842 682,"0,000","0,000"
48774,kom,RIBON EPSON LQ 1000 OR. 7754,"2,000","2,000"
49211,kom,TESTERICE ZA OTO 22050  2-105,"27,000","27,000"
49257,kom,KREDA BELA 1/80-V,"2,000","2,000"
49260,kom,PEČATNI VOSAK TVRDI,"58,000","58,000"
49477,kom,U-PERATONICA 1 ZIP MUST-CLASSI (20 elemenata) 41523,"0,000","0,000"
49647,kom,PAR-PATRONA MASTILA CRNO S0116200,"19,000","19,000"
49835,kom,ROT.PERM.MAR.SHARPIE SUPER CRV (PAPERMATE) P5122101,"6,000","6,000"
49843,kom,ROT.ŠABL.SLOV.3MM 3060300 R306 0300,"3,000","3,000"
49845,kom,ROT.ŠABL.SLOV.4MM 3060400 R306 0400,"15,000","15,000"
49846,kom,ROT.ŠABL.SLOV.5MM 3060500 R306 0500,"0,000","0,000"
49851,kom,ROT.GRAF.MI.HY POLY 0.7 B S0312680,"132,000","132,000"
49854,kom,ROT.LENJIR 30CM ŽUTI R800 130,"6,000","6,000"
49894,kom,ROT.IZM.PERO 1.4 ZA RAPID R755 140,"5,000","5,000"
49895,kom,ROT.IZM.PERO 2.0 ZA RAPID R755 200,"5,000","5,000"
49942,kom,CROSS 622-2 BP,"0,000","0,000"
49945,kom,CROSS 622-1 BP,"0,000","0,000"
50388,kom,CROSS 412WG-9 2000 BP,"1,000","1,000"
50557,kom,SIGNIR VIDEOTIP BLUE,"15,000","15,000"
50920,kom,E-MAPA ZA STO - SVET 32170 32170,"0,000","0,000"
50923,kom,E-KUT.ZA PANDAFL.METALNA 48260 48260,"1,000","1,000"
51063,kom,UGOVOR O RADU 6/210,"0,000","0,000"
51133,kom,KALKULATOR CASIO FC-100,"1,000","1,000"
51277,kom,ROT.ŠABLON GREJANJE R853 909 (ne proizvodi se više !!!) R853 909,"5,000","5,000"
51325,kom,ROT.ULOŽ.HEM.OLO.GIANT.PVC CRN R074 466,"58,000","58,000"
51616,kom,ROT.ŠABLON ZA PARABOLU R831620 R831 620,"14,000","14,000"
51647,kom,ROT.TEH.OL.FREEZE 0.5 N5000580,"40,000","40,000"
51648,kom,ROT.GUMICA T20 R551 220A,"116,000","116,000"
51765,kom,OD REČI DO REČENICE 3 RAZRED 12112,"0,000","0,000"
51780,kom,RADNI LISTOVI IZ MATEMAT. III (NOVO) 13211,"0,000","0,000"
51781,kom,PRIRODA I DRUŠTVO III (NOVO) 13310,"9,000","9,000"
51782,kom,RADNI LIST.ZA PRIR. I DRUŠ.III (ZAVIČAJNICA) 13312,"1,000","1,000"
51790,kom,RADNI LIST. IZ MATEM.IV 14212,"4,000","4,000"
51795,kom,RADNA SVESKA ZA POZN.PRIR. IV 14311,"4,000","4,000"
51814,kom,SRPSKI JEZ.I KULT.IZRAŽ.VI 16111,"0,000","0,000"
51816,kom,MATEMATIKA VI 16210,"1,000","1,000"
51817,kom,ZBIRKA ZAD.IZ MATEMATIKE VI 16214,"1,000","1,000"
51831,kom,ZBIRKA ZAD.IZ MATEMATIKE VII 17214,"13,000","13,000"
51833,kom,GEOGRAFIJA VII 17320,"19,000","19,000"
51836,kom,FIZIKA VII 17350,"21,000","21,000"
51841,kom,RADNA SVESKA TEH.OBRAZOV. VII 17371,"1,000","1,000"
51845,kom,SRPSKI JEZ.I KULT.IZRAŽ.VIII 18111,"0,000","0,000"
51848,kom,ZBIRKA ZAD.IZ MATEMATIKE VIII 18211,"0,000","0,000"
51850,kom,GEOGRAFIJA VIII 18320,"2,000","2,000"
51941,kom,ROT.KONVERTER  R251 300 R251 300,"2,000","2,000"
51944,kom,ROT.HEM.OL.SIDE TRAC (ne proizvodi se više) N5000688,"24,000","24,000"
52097,kom,U-PERATONICA 2 ZIPA ARCADIA (42 elementa) 41527,"2,000","2,000"
52100,kom,U-NALIV PERO +PATRONA BLISTER (PRIMARI) 43248,"7,000","7,000"
52635,kom,FAB.PAPIR 80g A4 zeleni 500L -51221297,"9,000","9,000"
52766,kom,ROT.MARKER EXPO F PLAVI N5000187,"2,000","2,000"
52779,kom,ROT.ROLLERBALL PhD GOLD CRN/BO N5000809,"2,000","2,000"
52913,kom,ROT.SIGNIR ACCENT ŽUTI P5755101,"1,000","1,000"
53068,kom,ROT.MARKER NEPERM.VISAVIS ZELE N5000237,"17,000","17,000"
53310,kom,FAX ROLNA 210X24,"3,000","3,000"
53381,kom,KRAVATA I KLASE d-16,"1,000","1,000"
53824,kom,"ROT.XONOX GRAPH.0,3 CRVENI (ne proizvodi se više!) R020 523","0,000","0,000"
53826,kom,ROT.SIGNIR ACCENT ZELENI P5754101,"4,000","4,000"
53849,kom,ROT.ŠABL.SLOV.2MM 3060200 R306 0200,"12,000","12,000"
54173,kom,PAR-ULOŽAK ZA ROLER PLAVI M 4667925042400,"0,000","0,000"
54372,kom,"ROT.XONOX SIGNIR ZEL,B.TELO (više se ne proizvodi!) R020 4461","4,000","4,000"
54732,kom,LZ-BUŠAČ 5008 35 5008 35,"1,000","1,000"
54734,kom,LZ-BUŠAČ 5038 35 5038 35,"1,000","1,000"
54751,kom,REGISTRATOR A4 PLAVI uski,"29,000","29,000"
55387,kom,FAB.PAPIR 80g A3 mix jarke (1/250) 61029742,"0,000","0,000"
55737,kom,ROT.KUTIJA ZA PAK.OL.BROJ 3/2 R026 898,"1,000","1,000"
55884,kom,PAR-HEM.OL.VECTOR PLAVA NOVA 4468234032100,"1,000","1,000"
55887,kom,PAR-NALIV PERO VECTOR PLAVO N.2025446,"2,000","2,000"
55910,kom,KONEKTOR SA KABLOM,"1,000","1,000"
56141,kom,ROT.ŠESTAR CENTRO-5301110 (ne proizvodi se više !!!) R530 1110,"2,000","2,000"
56147,kom,ROT.IZM.PERO 0.7 ZA RAPID R755 070,"5,000","5,000"
56151,kom,ROT.LENJIR 30CM SA DRŽALJEM R823 141,"0,000","0,000"
56155,kom,ROT.GEOM.SET CENTRO 2 (25CM) R823 523,"0,000","0,000"
56157,kom,ROT.GEOM.SET CENTRO 2 (32CM) R823 530,"10,000","10,000"
56208,kom,LZ-MUN.ZA HEFT.5550 k12-26/12 5583 k12,"11,000","11,000"
56487,kom,ROT.VISUPOINT F SV.ZELENI R019 127,"0,000","0,000"
56595,kom,KOŽA-ETUI ZA ČEK. KNJIŽ.CRNI 58.559.,"2,000","2,000"
56688,kom,FOTOKOPIR PAPIR A3 FABR.COPY3 40029742,"8,000","8,000"
56753,kom,FASCIKLA KARTONSKA-CRVENA,"127,000","127,000"
56754,kom,FASCIKLA KARTONSKA-PLAVA,"62,000","62,000"
56755,kom,FASCIKLA KARTONSKA-ZELENA,"19,000","19,000"
56757,kom,FASCIKLA KARTONSKA -ŽUTA,"60,000","60,000"
56847,kom,CROSS 812-3 ION RB PRIVEZAK 812-3,"1,000","1,000"
56884,kom,E-REG.KOMPLET 4/1 850105 850105,"1,000","1,000"
56889,kom,E-FASCIKLA KEPER 127290 127290,"2,000","2,000"
56922,kom,RIBON CITIZEN DP 600,"5,000","5,000"
56962,kom,CROSS 812-1 ION RB PRIVEZAK 812-1,"1,000","1,000"
56964,kom,CROSS 812-4 ION RB PRIVEZAK 812-4,"1,000","1,000"
56965,kom,CROSS 812-5 ION RB PRIVEZAK 812-5,"1,000","1,000"
56966,kom,CROSS 812-6 ION RB PRIVEZAK 812-6,"1,000","1,000"
56971,kom,CROSS 8516-1 UL.ZA BP CRNI 8516-1,"1,000","1,000"
57041,kom,PAR-HEM.OL.JOTTER NOVA PLAVA 4487134032100,"0,000","0,000"
57074,kom,PAR-TEH.OL.JOTTER PLAVA NOVA,"25,000","25,000"
57084,kom,ROT.KUTIJA ZA PAK.OL.R026 699 R026 699,"18,000","18,000"
57090,kom,APARAT ZA SELOTEJP         MAS 670,"4,000","4,000"
57091,kom,STALAK ZA SELOTEJP 33M MAS 740,"5,000","5,000"
57092,kom,SPAJALICE U BOJI 28mm      MAS (50kom) 280,"59,000","59,000"
57093,kom,SPAJALICE ZEBRA 28 mm      MAS 285,"85,000","85,000"
57094,kom,SPAJALICE U BOJI 50mm      MAS 295,"56,000","56,000"
57095,kom,RAJSNEDLE ZLATNE           MAS (40kom) 305,"22,000","22,000"
57096,kom,RAJSNEDLE U BOJI           MAS (30 kom) 310,"31,000","31,000"
57098,kom,MUNICIJA ZA HEFTALICU 10   MAS 140,"66,000","66,000"
57100,kom,GUMICA MAS-MALA 4X2cm      MAS 2410,"147,000","147,000"
57101,kom,GUMICA MAS-VELIKA 6X2cm    MAS 2450,"169,000","169,000"
57103,kom,GUMICE REZANE 8X50mm-50gr  MAS 355,"0,000","0,000"
57104,kom,GUMICE REZANE 8X50mm-200gr MAS 360,"4,000","4,000"
57106,kom,KUTIJA ZA SPAJALICE        MAS 802,"16,000","16,000"
57109,kom,JASTUČE ZA PEČAT-VELIKO    MAS 561,"14,000","14,000"
57110,kom,JASTUČE ZA PEČAT-MALO      MAS 516-517,"8,000","8,000"
57111,kom,NAKVASIVAČ                 MAS 580,"15,000","15,000"
57112,kom,NOŽ ZA HARTIJU-METALNI     MAS 470,"13,000","13,000"
57114,kom,ČAŠA ZA OLOVKE-ČETVRTASTA  MAS 490,"7,000","7,000"
57116,kom,MAKAZE ŠKOLSKE-SA LENJIROM MAS 705,"27,000","27,000"
57117,kom,MAKAZE ŠKOLSKE-TIP ZEC-RIB MAS 707,"15,000","15,000"
57119,kom,MAKAZE ŠKOLSKE-TIP RIBA    MAS 712,"42,000","42,000"
57122,kom,MAKAZE KANCELARIJSKE 25cm  MAS 425,"0,000","0,000"
57124,kom,MAKAZE KANCELARIJSKE 18cm  MAS 415,"0,000","0,000"
57126,kom,SKALPEL VEĆI               MAS 575,"55,000","55,000"
57127,kom,SKALPEL MANJI              MAS 570,"83,000","83,000"
57128,kom,ULOŽAK ZA SKALPEL-MANJI    MAS (10x10kom) 572,"80,000","80,000"
57129,kom,ULOŽAK ZA SKALPEL-VEĆI     MAS (10x10kom) 579,"20,000","20,000"
57175,kom,ROT.ULOŽ.ROLER CLIC CRNI/2 R018 715W,"0,000","0,000"
57213,kom,ROT.SIGNIR ACCENT PINK NOVI N5001125,"3,000","3,000"
57380,kom,AERO-TEMPERE/12 kart 202 20301,"3,000","3,000"
57390,kom,AERO-TEMPERE/14 A  205 31004,"0,000","0,000"
57399,kom,AERO-TEMPERA BELA 42ml 110 75541,"51,000","51,000"
57408,kom,AERO-TEMPERA CRNA 42ml 900 76603,"73,000","73,000"
57409,kom,AERO-VODENE BOJE/12 PVC 126 77993,"9,000","9,000"
57424,kom,AERO-SELOTEJP 15x33 standardni 79010,"0,000","0,000"
