Šifra artikla,Jedinica mjere ,Naziv artikla,Stanje zaliha,Knjigovodstveno stanje
947449,kom,STY-HAMER A3,"22,000","22,000"
947450,kom,KETRIDŽ HP 300 COLOR,"0,000","0,000"
947455,kom,TA-MARKER PINTOR CRVENI,"10,000","10,000"
947456,kom,TA-MARKER PINTOR  PLAVI,"12,000","12,000"
947457,kom,TA-MARKER PINTOR PINK,"12,000","12,000"
947458,kom,TA-MARKER PINTOR  LJUBIČASTI,"10,000","10,000"
947459,kom,TA-MARKER PINTOR SMEĐI,"11,000","11,000"
947460,kom,TA-KOLAŽ PAPIR B5 SAMOLJ.,"27,000","27,000"
947462,kom,HC-KUTIJA ZA PARFEME,"1,000","1,000"
947463,kom,HC-KUTIJA ZA VINO DEKUPAŽ,"0,000","0,000"
947464,kom,TA-TACNA MALA DEKUPAŽ,"0,000","0,000"
947465,kom,HC-KUTIJA OKRUGLA SANTORO,"0,000","0,000"
947466,kom,HC-MEDALJON DEKUPAŽ VEĆI,"2,000","2,000"
947467,kom,HC-MEDALJON DEKUPAŽ MANJI,"1,000","1,000"
947468,kom,HC-KUTIJICE ZA NAOČALE,"7,000","4,000"
947469,kom,HC-NAKIT VEĆI NAROKVICA,"1,000","1,000"
947470,kom,HC-NAKIT MANJI NAROKVICA,"0,000","0,000"
947471,kom,KETRIDŽ  HP 650 CZ 101 CRNI,"0,000","0,000"
947472,kom,KETRIDŽ HP 650 CZ 102 COLOR,"0,000","0,000"
947474,kom,MUŠKA TORBA KOŽNA 1060M,"0,000","0,000"
947475,kom,TORBA KOŽNA NA RAME 1060P,"2,000","2,000"
947477,kom,"TORBA ZA LAPTOP NA RAME DELSEY ESPLANADE CRNA 15,6""","1,000","1,000"
947478,kom,"TORBA ZA LAPTOP  15,6"" DELSEY ESPLANADE CRNA","1,000","1,000"
947479,kom,RANAC Ž.DELSEY ESPLANADE 1/2 SIVI,"1,000","1,000"
947480,kom,RANAC Ž.DELSEY ESPLANADE 1/2 PLAVI,"1,000","1,000"
947481,kom,RANAC DELSEY ESPLANADA 1/2 CRNI,"1,000","1,000"
947482,kom,RANAC DELSEY ESPLANADE 1/2 SIVI,"0,000","0,000"
947483,kom,RANAC DELSEY ESPLANADE 1/2 PLAVI,"1,000","1,000"
947484,kom,TORBA ZA LAPTOP DELSEY PARVIS + 1/1 CRNA,"2,000","2,000"
947485,kom,TORBA ZA LAPTOP DELSEY PARVIS 1/2 CRNA,"1,000","1,000"
947488,kom,POSLOVNA TAŠNA DELSEY OMEGA,"2,000","2,000"
947489,kom,KOFER USPRAVNI SA 4 TOČKA DELSEY AIR ADVENT.67CM PLAVI,"0,000","0,000"
947490,kom,KOFER USPRAVNI SA 4 TOČKA DELSEY AIR ADVENT.78CM PLAVI,"0,000","0,000"
947491,kom,KOFER USPRAVNI  DELSEY EXPERT TEGET L,"0,000","0,000"
947492,kom,KOFER USPRAVNI DELSEY EXPERT TEGET M,"0,000","0,000"
947493,kom,KOFER USPRAVNI DELSEY EXPERT TEGET S,"0,000","0,000"
947503,kom,KOFER DELSEY STARDUST CRVENI L,"0,000","0,000"
947504,kom,KOFER DELSEY STARDUST CRVENI M,"0,000","0,000"
947505,kom,KOFER DELSEY STARDUST CRVENI S,"0,000","0,000"
947512,kom,KOFER DELSEY MANITOBA CRNA  L,"0,000","0,000"
947513,kom,KOFER DELSEY MANITOBA CRNA M,"0,000","0,000"
947514,kom,KOFER DELSEY MANITOBA CRNA S,"0,000","0,000"
947516,kom,KOFER USPRAVNI SA 2 TOČKA DELSEY MONTSOURIS 68 MASLINASTI,"0,000","0,000"
947517,kom,KOFER USPRAVNI SA 2 TOČKA DELSEY MONTSOURIS 78 MASLINASTA,"0,000","0,000"
947518,kom,BUŠAČ STONI METALNI P-1000 DO 100L NOKI,"1,000","1,000"
947519,kom,"ROT.TEH.OL.TIKKY NOVA 0,5 NEON GREEN","17,000","17,000"
947520,kom,"ROT.TEH.OL.TIKKY NOVA 0,5 NEON PINK","11,000","11,000"
947521,kom,"ROT.TEH.OL.TIKKY NOVA 0,5 NEON ŽUTA","19,000","19,000"
947522,kom,"ROT.TEH.OL.TIKKY NOVA 0,5  SV.PLAVA","5,000","5,000"
947523,kom,"ROT,TEH.OL.TIKKY NOVA 0,5 LJUBIČASTA","5,000","5,000"
947524,kom,M-SHOPKINS KOLEKCIONARSKI KOFERČIĆ,"0,000","0,000"
947525,kom,M-ZABAVNI SET BALON 018278,"0,000","0,000"
947526,kom,M-DRUŠTVENA IGRA PUTNA ASST,"1,000","1,000"
947527,kom,M-SNOOKER 045519,"0,000","0,000"
947528,kom,M-ZABAVNA IGRA 042105,"0,000","0,000"
947529,kom,"ROT.GR.MINE 0,5 HB 2/1 BLISTER","49,000","49,000"
947542,kom,SET STYLO FP+BP ONLINE BAMBOO U MAG.KUT.38258,"0,000","0,000"
947543,kom,SET FP+BP ONLINE CRNI STYLE 34335,"0,000","0,000"
947544,kom,SET FP+BP ONLINE ELEGANZA SILVER+FUTR.34373,"0,000","0,000"
947545,kom,NALIV PERO ONLINE VISION BUTTERFLY DREAMS ROSEGOLD M 36971,"1,000","1,000"
947546,kom,NALIV PERO ONLINE  VISION  FINE DRAGON SPIRIT BLACK M 36972,"1,000","1,000"
947547,kom,NALIV PERO ONLINE VISION CORK F 36787,"1,000","1,000"
